data,Ibirapuera,Pinheiros,tmin,tmed,tmax,precipitacao
2017-01-18,694.0,728.0,20,22,24,13
2017-01-19,368.0,451.0,20,23,26,"24,6"
2017-01-20,395.0,373.0,19,22,25,"7,5"
2017-01-21,732.0,772.0,18,"20,5",23,"19,8"
2017-01-22,1096.0,1214.0,17,20,23,"6,4"
2017-01-23,1433.0,1503.0,18,22,26,"2,2"
2017-01-24,2093.0,2233.0,20,25,30,"2,7"
2017-01-25,1074.0,1182.0,23,26,29,"0,6"
2017-01-26,1094.0,1147.0,19,"22,5",26,"19,7"
2017-01-27,1157.0,1241.0,20,23,26,5
2017-01-28,2717.0,2794.0,20,25,30,"0,1"
2017-01-29,1263.0,1349.0,22,"27,5",33,0
2017-01-30,1397.0,1440.0,20,"24,5",29,"2,2"
2017-01-31,929.0,938.0,20,25,30,4
2017-02-01,1157.0,1329.0,19,"23,5",28,"12,3"
2017-02-02,1134.0,1217.0,19,"23,5",28,"5,2"
2017-02-03,879.0,917.0,23,26,29,"1,4"
2017-02-04,2508.0,2643.0,20,"23,5",27,"0,5"
2017-02-05,1079.0,1127.0,20,26,32,"2,2"
2017-02-06,1395.0,1583.0,20,"25,5",31,"25,9"
2017-02-07,1547.0,1705.0,19,24,29,"5,7"
2017-02-08,1615.0,1825.0,20,"24,5",29,0
2017-02-09,1363.0,1532.0,19,"23,5",28,0
2017-02-10,1099.0,1199.0,20,25,30,0
2017-02-11,2161.0,2356.0,23,27,31,"0,6"
2017-02-12,1492.0,1620.0,21,26,31,"1,3"
2017-02-13,1637.0,1838.0,22,27,32,0
2017-02-14,1566.0,1735.0,21,"26,5",32,0
2017-02-15,1492.0,1675.0,24,28,32,0
2017-02-16,1311.0,1446.0,21,"26,5",32,0
2017-02-17,633.0,893.0,21,27,33,0
2017-02-18,1755.0,2369.0,21,"27,5",34,0
2017-02-19,1354.0,1560.0,24,29,34,0
2017-02-20,1487.0,1640.0,21,"27,5",34,0
2017-02-21,1268.0,1311.0,20,26,32,0
2017-02-22,1253.0,1544.0,20,"26,5",33,"0,6"
2017-02-23,1017.0,1042.0,21,27,33,"0,1"
2017-02-24,540.0,711.0,18,24,30,50
2017-02-25,1174.0,1412.0,20,"22,5",25,"2,1"
2017-02-26,683.0,941.0,19,"23,5",28,"4,8"
2017-02-27,1475.0,1895.0,20,"24,5",29,"0,3"
2017-02-28,1003.0,1153.0,19,24,29,"0,1"
2017-03-01,1301.0,1406.0,21,26,31,"0,1"
2017-03-02,962.0,1141.0,23,"25,5",28,"12,4"
2017-03-03,722.0,982.0,20,"24,5",29,"1,1"
2017-03-04,1576.0,1972.0,21,25,29,0
2017-03-05,993.0,1095.0,20,"24,5",29,"55,1"
2017-03-06,1236.0,1301.0,20,24,28,"22,3"
2017-03-07,1175.0,1378.0,17,"23,5",30,"30,8"
2017-03-08,702.0,1208.0,19,24,29,"30,6"
2017-03-09,1256.0,1439.0,20,"25,5",31,0
2017-03-10,1156.0,1210.0,22,"26,5",31,"0,6"
2017-03-11,2360.0,2733.0,22,"26,5",31,"0,3"
2017-03-12,1146.0,1257.0,21,"26,5",32,0
2017-03-13,1282.0,1526.0,21,"24,5",28,0
2017-03-14,1740.0,1947.0,20,23,26,"2,2"
2017-03-15,1515.0,1645.0,20,24,28,0
2017-03-16,1109.0,1126.0,19,"24,5",30,0
2017-03-17,536.0,611.0,19,23,27,"1,9"
2017-03-18,1094.0,1212.0,18,"19,5",21,"0,3"
2017-03-19,1263.0,1438.0,17,"18,5",20,1
2017-03-20,1427.0,1657.0,18,21,24,0
2017-03-21,1522.0,1747.0,16,21,26,0
2017-03-22,1377.0,1571.0,17,22,27,0
2017-03-23,1279.0,1537.0,19,23,27,0
2017-03-24,1003.0,1037.0,17,23,29,0
2017-03-25,1975.0,2175.0,19,"23,5",28,0
2017-03-26,1188.0,1333.0,17,22,27,0
2017-03-27,1469.0,1615.0,19,22,25,0
2017-03-28,1464.0,1596.0,19,"22,5",26,"0,1"
2017-03-29,1394.0,1534.0,17,21,25,0
2017-03-30,1300.0,1455.0,17,"21,5",26,0
2017-03-31,927.0,999.0,16,20,24,0
2017-04-01,1760.0,1888.0,17,"20,5",24,0
2017-04-02,1438.0,1541.0,16,21,26,0
2017-04-03,1559.0,1715.0,16,22,28,0
2017-04-04,1444.0,1598.0,18,24,30,0
2017-04-05,590.0,674.0,18,24,30,0
2017-04-06,809.0,909.0,19,23,27,"6,8"
2017-04-07,822.0,923.0,19,21,23,"7,3"
2017-04-08,1818.0,1998.0,20,"23,5",27,0
2017-04-09,1310.0,1457.0,19,"23,5",28,0
2017-04-10,1445.0,1587.0,22,"25,5",29,0
2017-04-11,1006.0,1158.0,21,"25,5",30,0
2017-04-12,980.0,1090.0,17,20,23,"0,2"
2017-04-13,1034.0,1132.0,17,19,21,0
2017-04-14,1143.0,1205.0,17,"20,5",24,0
2017-04-15,1437.0,1553.0,19,"23,5",28,0
2017-04-16,933.0,1085.0,17,23,29,"0,2"
2017-04-17,1258.0,1381.0,18,"21,5",25,0
2017-04-18,1250.0,1434.0,17,20,23,"0,1"
2017-04-19,1213.0,1385.0,15,19,23,0
2017-04-20,922.0,1075.0,16,22,28,0
2017-04-21,694.0,740.0,18,"21,5",25,"12,5"
2017-04-22,1348.0,1511.0,16,19,22,"1,5"
2017-04-23,1292.0,1412.0,16,"18,5",21,0
2017-04-24,1418.0,1560.0,17,22,27,0
2017-04-25,839.0,849.0,18,"23,5",29,0
2017-04-26,954.0,1181.0,17,"19,5",22,"18,1"
2017-04-27,1335.0,1612.0,14,16,18,1
2017-04-28,689.0,755.0,14,"15,5",17,0
2017-04-29,1483.0,1705.0,13,"16,5",20,0
2017-04-30,2036.0,2227.0,15,"18,5",22,0
2017-05-01,1230.0,1417.0,15,20,25,0
2017-05-02,1264.0,1463.0,16,"19,5",23,"0,3"
2017-05-03,1367.0,1542.0,15,20,25,0
2017-05-04,431.0,484.0,15,"20,5",26,"0,1"
2017-05-05,866.0,899.0,15,"18,5",22,"51,2"
2017-05-06,1660.0,1735.0,15,"19,5",24,"3,7"
2017-05-07,1261.0,1492.0,17,20,23,0
2017-05-08,1432.0,1696.0,14,"19,5",25,0
2017-05-09,1299.0,1522.0,15,"20,5",26,0
2017-05-10,1163.0,1315.0,17,"20,5",24,0
2017-05-11,1218.0,1450.0,16,19,22,0
2017-05-12,1070.0,1171.0,14,19,24,0
2017-05-13,802.0,940.0,14,"20,5",27,0
2017-05-14,1276.0,1442.0,20,"22,5",25,"0,4"
2017-05-15,1414.0,1485.0,16,"20,5",25,0
2017-05-16,1215.0,1359.0,15,19,23,0
2017-05-17,920.0,1019.0,15,18,21,"0,1"
2017-05-18,306.0,362.0,16,18,20,"5,4"
2017-05-19,747.0,820.0,16,"16,5",17,"80,3"
2017-05-20,278.0,303.0,18,"20,5",23,"3,3"
2017-05-21,788.0,884.0,17,"24,5",32,"36,7"
2017-05-22,1330.0,1555.0,17,"24,5",32,"4,8"
2017-05-23,1255.0,1363.0,14,"18,5",23,0
2017-05-24,1326.0,1597.0,15,"18,5",22,0
2017-05-25,1273.0,1426.0,16,"21,5",27,0
2017-05-26,831.0,939.0,17,23,29,0
2017-05-27,1562.0,1683.0,18,21,24,"0,1"
2017-05-28,1289.0,1505.0,18,20,22,"0,5"
2017-05-29,1180.0,1277.0,18,22,26,0
2017-05-30,1365.0,1514.0,18,"19,5",21,0
2017-05-31,1084.0,1176.0,17,21,25,0
2017-06-01,1115.0,1337.0,17,19,21,0
2017-06-02,941.0,1050.0,12,"16,5",21,0
2017-06-03,1983.0,2346.0,15,"19,5",24,0
2017-06-04,683.0,596.0,14,21,28,0
2017-06-05,520.0,665.0,18,20,22,"30,3"
2017-06-06,1066.0,1185.0,18,"20,5",23,"53,2"
2017-06-07,1345.0,1444.0,17,22,27,"22,4"
2017-06-08,897.0,1007.0,20,"23,5",27,"2,5"
2017-06-09,885.0,979.0,19,21,23,"0,1"
2017-06-10,1742.0,1860.0,11,15,19,0
2017-06-11,1124.0,1241.0,9,"15,5",22,0
2017-06-12,382.0,404.0,12,17,22,"0,1"
2017-06-13,1051.0,1154.0,14,16,18,37
2017-06-14,1275.0,1268.0,14,"17,5",21,"1,2"
2017-06-15,789.0,875.0,16,"18,5",21,0
2017-06-16,975.0,1016.0,14,19,24,0
2017-06-17,1964.0,1970.0,13,19,25,0
2017-06-18,1171.0,1263.0,14,"19,5",25,0
2017-06-19,839.0,960.0,15,20,25,0
2017-06-20,990.0,1111.0,14,15,16,0
2017-06-21,1159.0,1319.0,14,17,20,0
2017-06-22,1121.0,1246.0,16,19,22,0
2017-06-23,944.0,1097.0,14,"18,5",23,0
2017-06-24,1974.0,2104.0,15,"18,5",22,0
2017-06-25,1257.0,1386.0,15,"18,5",22,0
2017-06-26,1312.0,1493.0,15,"18,5",22,0
2017-06-27,1263.0,1473.0,13,18,23,"0,2"
2017-06-28,1278.0,1482.0,16,"20,5",25,0
2017-06-29,1260.0,1379.0,14,"19,5",25,0
2017-06-30,556.0,607.0,17,"20,5",24,0
2017-07-01,696.0,765.0,15,18,21,0
2017-07-02,1001.0,1083.0,12,"14,5",17,0
2017-07-03,1095.0,1162.0,11,"13,5",16,0
2017-07-04,1050.0,1204.0,9,13,17,0
2017-07-05,1040.0,1233.0,9,14,19,0
2017-07-06,947.0,1062.0,11,16,21,0
2017-07-07,886.0,979.0,12,"16,5",21,0
2017-07-08,1833.0,1929.0,15,"18,5",22,0
2017-07-09,1061.0,1210.0,13,18,23,0
2017-07-10,1357.0,1480.0,13,"18,5",24,0
2017-07-11,1208.0,1351.0,16,"20,5",25,0
2017-07-12,1092.0,1263.0,13,18,23,0
2017-07-13,1092.0,1245.0,15,19,23,0
2017-07-14,971.0,1047.0,13,"18,5",24,0
2017-07-15,1822.0,2002.0,13,"18,5",24,0
2017-07-16,1216.0,1341.0,15,"19,5",24,0
2017-07-17,702.0,788.0,14,20,26,0
2017-07-18,716.0,838.0,8,13,18,0
2017-07-19,1001.0,1104.0,8,11,14,0
2017-07-20,1023.0,1163.0,13,18,23,0
2017-07-21,927.0,1025.0,12,"18,5",25,0
2017-07-22,1894.0,2119.0,13,18,23,0
2017-07-23,1217.0,1341.0,14,20,26,0
2017-07-24,1327.0,1511.0,12,"18,5",25,0
2017-07-25,1349.0,1492.0,16,21,26,0
2017-07-26,1184.0,1354.0,13,19,25,0
2017-07-27,1085.0,1254.0,13,"18,5",24,0
2017-07-28,1025.0,1149.0,13,"17,5",22,0
2017-07-29,2115.0,2278.0,12,"17,5",23,0
2017-07-30,1230.0,1375.0,16,20,24,0
2017-07-31,1308.0,1554.0,15,19,23,0
2017-08-01,1329.0,1484.0,12,"16,5",21,0
2017-08-02,1061.0,1248.0,15,20,25,0
2017-08-03,886.0,1007.0,17,19,21,"3,4"
2017-08-04,563.0,619.0,13,"15,5",18,0
2017-08-05,1799.0,1901.0,13,15,17,0
2017-08-06,1337.0,1482.0,11,"15,5",20,0
2017-08-07,1517.0,1666.0,15,"20,5",26,0
2017-08-08,1480.0,1728.0,18,23,28,0
2017-08-09,1260.0,1366.0,20,"24,5",29,0
2017-08-10,1276.0,1386.0,15,18,21,0
2017-08-11,930.0,1076.0,12,"17,5",23,0
2017-08-12,1400.0,1473.0,17,"20,5",24,0
2017-08-13,1402.0,1519.0,14,22,30,"0,6"
2017-08-14,828.0,907.0,16,21,26,"8,9"
2017-08-15,777.0,913.0,14,15,16,"17,8"
2017-08-16,588.0,695.0,15,16,17,"27,3"
2017-08-17,741.0,855.0,15,"15,5",16,"61,8"
2017-08-18,196.0,208.0,15,16,17,"49,1"
2017-08-19,512.0,496.0,16,17,18,"3,3"
2017-08-20,661.0,750.0,15,"17,5",20,37
2017-08-21,1081.0,1202.0,11,"13,5",16,"0,5"
2017-08-22,1263.0,1420.0,11,"14,5",18,0
2017-08-23,1309.0,1505.0,13,"17,5",22,0
2017-08-24,1255.0,1431.0,14,"18,5",23,0
2017-08-25,1075.0,1146.0,15,20,25,0
2017-08-26,2126.0,2287.0,17,22,27,0
2017-08-27,1479.0,1624.0,14,21,28,0
2017-08-28,1531.0,1775.0,14,"20,5",27,0
2017-08-29,1556.0,1776.0,12,"20,5",29,0
2017-08-30,1157.0,1219.0,15,23,31,0
2017-08-31,1267.0,1363.0,15,20,25,0
2017-09-01,1042.0,1128.0,15,"19,5",24,0
2017-09-02,2190.0,2472.0,15,20,25,0
2017-09-03,1442.0,1610.0,13,20,27,0
2017-09-04,1466.0,1674.0,19,"23,5",28,0
2017-09-05,1377.0,1608.0,14,"21,5",29,0
2017-09-06,1774.0,1925.0,15,21,27,0
2017-09-07,891.0,991.0,14,21,28,0
2017-09-08,902.0,975.0,15,"22,5",30,0
2017-09-09,1840.0,2041.0,17,"23,5",30,0
2017-09-10,1492.0,1610.0,17,"23,5",30,0
2017-09-11,1545.0,1721.0,18,25,32,0
2017-09-12,1521.0,1674.0,19,25,31,0
2017-09-13,1523.0,1662.0,16,"23,5",31,0
2017-09-14,1404.0,1578.0,19,"25,5",32,0
2017-09-15,1090.0,1203.0,20,"26,5",33,0
2017-09-16,2062.0,2325.0,17,"24,5",32,0
2017-09-17,1470.0,1548.0,18,25,32,0
2017-09-18,1564.0,1689.0,18,24,30,0
2017-09-19,1521.0,1723.0,17,22,27,0
2017-09-20,1501.0,1629.0,15,"21,5",28,0
2017-09-21,1410.0,1568.0,16,23,30,0
2017-09-22,1063.0,1162.0,21,"25,5",30,"0,3"
2017-09-23,1729.0,1964.0,18,"24,5",31,0
2017-09-24,1426.0,1566.0,18,"21,5",25,0
2017-09-25,1597.0,1713.0,17,"21,5",26,0
2017-09-26,1581.0,1705.0,15,"21,5",28,0
2017-09-27,1335.0,1369.0,16,"23,5",31,0
2017-09-28,1037.0,1116.0,17,21,25,0
2017-09-29,364.0,452.0,16,19,22,2
2017-09-30,1800.0,1877.0,16,19,22,"55,9"
2017-10-01,1042.0,1240.0,16,"21,5",27,15
2017-10-02,1051.0,1228.0,17,20,23,"3,1"
2017-10-03,1552.0,1739.0,15,19,23,"4,4"
2017-10-04,1553.0,1721.0,14,19,24,"0,7"
2017-10-05,1391.0,1543.0,14,23,32,0
2017-10-06,214.0,223.0,22,"27,5",33,"36,2"
2017-10-07,1332.0,1471.0,18,22,26,"34,5"
2017-10-08,1548.0,1676.0,17,"21,5",26,"2,5"
2017-10-09,1418.0,1516.0,18,"24,5",31,0
2017-10-10,1353.0,1508.0,20,27,34,"0,1"
2017-10-11,1472.0,1584.0,19,27,35,"3,7"
2017-10-12,835.0,921.0,20,"27,5",35,0
2017-10-13,796.0,838.0,23,"28,5",34,"6,9"
2017-10-14,888.0,992.0,19,"25,5",32,1
2017-10-15,1259.0,1379.0,16,18,20,"0,7"
2017-10-16,1477.0,1637.0,15,"19,5",24,0
2017-10-17,1575.0,1704.0,17,23,29,0
2017-10-18,1536.0,1784.0,22,27,32,0
2017-10-19,1326.0,1388.0,20,26,32,0
2017-10-20,838.0,958.0,19,"22,5",26,"0,2"
2017-10-21,566.0,633.0,18,22,26,33
