data,Ibirapuera,Pinheiros,tmin,tmed,tmax,precipitacao
18/01/2017,694.0,728.0,20,22,24,13
19/01/2017,368.0,451.0,20,23,26,24.6
20/01/2017,395.0,373.0,19,22,25,7.5
21/01/2017,732.0,772.0,18,20.5,23,19.8
22/01/2017,1096.0,1214.0,17,20,23,6.4
23/01/2017,1433.0,1503.0,18,22,26,2.2
24/01/2017,2093.0,2233.0,20,25,30,2.7
25/01/2017,1074.0,1182.0,23,26,29,0.6
26/01/2017,1094.0,1147.0,19,22.5,26,19.7
27/01/2017,1157.0,1241.0,20,23,26,5
28/01/2017,2717.0,2794.0,20,25,30,0.1
29/01/2017,1263.0,1349.0,22,27.5,33,0
30/01/2017,1397.0,1440.0,20,24.5,29,2.2
31/01/2017,929.0,938.0,20,25,30,4
01/02/2017,1157.0,1329.0,19,23.5,28,12.3
02/02/2017,1134.0,1217.0,19,23.5,28,5.2
03/02/2017,879.0,917.0,23,26,29,1.4
04/02/2017,2508.0,2643.0,20,23.5,27,0.5
05/02/2017,1079.0,1127.0,20,26,32,2.2
06/02/2017,1395.0,1583.0,20,25.5,31,25.9
07/02/2017,1547.0,1705.0,19,24,29,5.7
08/02/2017,1615.0,1825.0,20,24.5,29,0
09/02/2017,1363.0,1532.0,19,23.5,28,0
10/02/2017,1099.0,1199.0,20,25,30,0
11/02/2017,2161.0,2356.0,23,27,31,0.6
12/02/2017,1492.0,1620.0,21,26,31,1.3
13/02/2017,1637.0,1838.0,22,27,32,0
14/02/2017,1566.0,1735.0,21,26.5,32,0
15/02/2017,1492.0,1675.0,24,28,32,0
16/02/2017,1311.0,1446.0,21,26.5,32,0
17/02/2017,633.0,893.0,21,27,33,0
18/02/2017,1755.0,2369.0,21,27.5,34,0
19/02/2017,1354.0,1560.0,24,29,34,0
20/02/2017,1487.0,1640.0,21,27.5,34,0
21/02/2017,1268.0,1311.0,20,26,32,0
22/02/2017,1253.0,1544.0,20,26.5,33,0.6
23/02/2017,1017.0,1042.0,21,27,33,0.1
24/02/2017,540.0,711.0,18,24,30,50
25/02/2017,1174.0,1412.0,20,22.5,25,2.1
26/02/2017,683.0,941.0,19,23.5,28,4.8
27/02/2017,1475.0,1895.0,20,24.5,29,0.3
28/02/2017,1003.0,1153.0,19,24,29,0.1
01/03/2017,1301.0,1406.0,21,26,31,0.1
02/03/2017,962.0,1141.0,23,25.5,28,12.4
03/03/2017,722.0,982.0,20,24.5,29,1.1
04/03/2017,1576.0,1972.0,21,25,29,0
05/03/2017,993.0,1095.0,20,24.5,29,55.1
06/03/2017,1236.0,1301.0,20,24,28,22.3
07/03/2017,1175.0,1378.0,17,23.5,30,30.8
08/03/2017,702.0,1208.0,19,24,29,30.6
09/03/2017,1256.0,1439.0,20,25.5,31,0
10/03/2017,1156.0,1210.0,22,26.5,31,0.6
11/03/2017,2360.0,2733.0,22,26.5,31,0.3
12/03/2017,1146.0,1257.0,21,26.5,32,0
13/03/2017,1282.0,1526.0,21,24.5,28,0
14/03/2017,1740.0,1947.0,20,23,26,2.2
15/03/2017,1515.0,1645.0,20,24,28,0
16/03/2017,1109.0,1126.0,19,24.5,30,0
17/03/2017,536.0,611.0,19,23,27,1.9
18/03/2017,1094.0,1212.0,18,19.5,21,0.3
19/03/2017,1263.0,1438.0,17,18.5,20,1
20/03/2017,1427.0,1657.0,18,21,24,0
21/03/2017,1522.0,1747.0,16,21,26,0
22/03/2017,1377.0,1571.0,17,22,27,0
23/03/2017,1279.0,1537.0,19,23,27,0
24/03/2017,1003.0,1037.0,17,23,29,0
25/03/2017,1975.0,2175.0,19,23.5,28,0
26/03/2017,1188.0,1333.0,17,22,27,0
27/03/2017,1469.0,1615.0,19,22,25,0
28/03/2017,1464.0,1596.0,19,22.5,26,0.1
29/03/2017,1394.0,1534.0,17,21,25,0
