data ; tMin ; tMed ; tMax ; precipitacao 
24/06/2020;14;20;26;0
23/06/2020;15;21,5;28;0
22/06/2020;15;20,5;26;0
21/06/2020;14;20,5;27;0
20/06/2020;13;20;27;0
19/06/2020;17;21;25;0
18/06/2020;15;18,5;22;0
17/06/2020;16;19,5;23;0
16/06/2020;16;19,5;23;0
15/06/2020;14;16,5;19;0
14/06/2020;14;17,5;21;0
13/06/2020;20;24,5;29;0
12/06/2020;20;24,5;29;0
11/06/2020;18;23;28;0,06
10/06/2020;18;23;28;2,46
09/06/2020;17;22;27;0,03
08/06/2020;14;20;26;0
07/06/2020;16;19,5;23;22,11
06/06/2020;17;19;21;2,96
05/06/2020;16;19;22;4,15
04/06/2020;16;18,5;21;4
03/06/2020;15;17;19;2,19
02/06/2020;12;17;22;3,62
01/06/2020;11;18,5;26;0
31/05/2020;7;11,5;16;0
30/05/2020;8;14;20;0
29/05/2020;7;16,5;26;0
28/05/2020;10;16;22;0
27/05/2020;8;13,5;19;0
26/05/2020;10;15,5;21;0,22
25/05/2020;7;12;17;0
24/05/2020;11;15;19;0,98
23/05/2020;16;19,5;23;6,95
22/05/2020;11;12,5;14;0,54
21/05/2020;15;20,5;26;0
20/05/2020;16;19,5;23;0
19/05/2020;8;17;26;0
18/05/2020;11;18;25;0
17/05/2020;8;15,5;23;0
16/05/2020;6;15;24;0
15/05/2020;15;16;17;0,32
14/05/2020;15;18;21;0,75
13/05/2020;13;20;27;2,75
12/05/2020;13;19;25;0
11/05/2020;13;18;23;0
10/05/2020;13;18,5;24;0
09/05/2020;5;15,5;26;0
08/05/2020;12;16;20;0
07/05/2020;14;16;18;0,47
06/05/2020;6;12,5;19;3,14
05/05/2020;13;19;25;0,15
04/05/2020;13;18;23;0
03/05/2020;13;16,5;20;0
02/05/2020;16;20,5;25;0
01/05/2020;16;21,5;27;0
30/04/2020;15;21;27;0,26
29/04/2020;15;20,5;26;0
28/04/2020;15;21;27;0
27/04/2020;14;21;28;0
26/04/2020;16;22,5;29;0
25/04/2020;15;22,5;30;0
24/04/2020;16;21,5;27;0
23/04/2020;16;21;26;0
22/04/2020;14;22;30;0,02
21/04/2020;14;20,5;27;0
20/04/2020;15;20;25;0
19/04/2020;17;20;23;0
18/04/2020;15;19;23;0
17/04/2020;15;18,5;22;0
16/04/2020;15;19,5;24;0,01
15/04/2020;16;19,5;23;4,42
14/04/2020;17;21,5;26;1,19
13/04/2020;15;19,5;24;0
12/04/2020;12;20;28;0
11/04/2020;14;19,5;25;0,01
10/04/2020;10;18,5;27;0
09/04/2020;14;17,5;21;0
08/04/2020;14;17,5;21;0
07/04/2020;15;20;25;3,27
06/04/2020;15;23;31;0,52
05/04/2020;14;20,5;27;0
04/04/2020;13;18,5;24;0
03/04/2020;14;21;28;0,02
02/04/2020;17;24;31;0,09
01/04/2020;18;23;28;0
31/03/2020;20;24,5;29;0,01
30/03/2020;18;23;28;12,21
29/03/2020;18;23;28;18,29
28/03/2020;17;23;29;0,04
27/03/2020;15;21,5;28;0
26/03/2020;15;21;27;0
25/03/2020;16;21,5;27;0
24/03/2020;18;22;26;0
23/03/2020;17;24,5;32;0
22/03/2020;15;24;33;0
21/03/2020;14;26,5;39;0
20/03/2020;19;22,5;26;9,33
19/03/2020;20;25;30;1,26
18/03/2020;20;25;30;0
17/03/2020;22;26,5;31;25,65
16/03/2020;20;26;32;0,64
15/03/2020;20;26;32;0
14/03/2020;18;25;32;0
13/03/2020;18;24;30;0
12/03/2020;18;24;30;0
11/03/2020;18;23;28;0
10/03/2020;19;24;29;0
09/03/2020;19;24;29;0
08/03/2020;18;19,5;21;3,59
07/03/2020;16;21,5;27;0
06/03/2020;17;21,5;26;0
05/03/2020;16;25,5;35;0
04/03/2020;16;25;34;0
03/03/2020;18;21;24;2,31
02/03/2020;18;20;22;2,31
01/03/2020;16;24;32;0,19
29/02/2020;17;19,5;22;0
28/02/2020;15;19;23;0
27/02/2020;15;18,5;22;7,36
26/02/2020;18;22,5;27;26,23
25/02/2020;19;23,5;28;14,9
24/02/2020;17;21,5;26;8,13
23/02/2020;17;20;23;0
22/02/2020;18;21;24;0
21/02/2020;20;22;24;7,61
20/02/2020;21;26;31;7,82
19/02/2020;21;27;33;20,41
18/02/2020;20;26;32;5,09
17/02/2020;19;25,5;32;0
16/02/2020;23;24,5;26;0
15/02/2020;17;23;29;0
14/02/2020;18;24,5;31;0
13/02/2020;17;20;23;0
12/02/2020;17;20;23;0
11/02/2020;18;19;20;0,84
10/02/2020;18;20;22;55,79
09/02/2020;19;24;29;6,14
08/02/2020;18;24;30;7,08
07/02/2020;22;29,5;37;8,39
06/02/2020;20;25;30;0,16
05/02/2020;20;23;26;2,56
04/02/2020;19;22,5;26;1,91
03/02/2020;22;22,5;23;19,16
02/02/2020;18;22,5;27;33,45
01/02/2020;22;25;28;30,69
31/01/2020;22;26,5;31;1,36
30/01/2020;21;26,5;32;22,78
29/01/2020;19;25,5;32;14,68
28/01/2020;17;25;33;0,02
27/01/2020;16;24;32;1,23
26/01/2020;16;23,5;31;0
25/01/2020;17;22,5;28;0
24/01/2020;17;21;25;2,31
23/01/2020;17;24,5;32;15,71
22/01/2020;17;22;27;2,27
21/01/2020;17;21,5;26;0,09
20/01/2020;18;22;26;0
19/01/2020;18;21,5;25;0,11
18/01/2020;19;21;23;0,77
17/01/2020;17;20;23;40,62
16/01/2020;22;27,5;33;9,81
15/01/2020;18;23,5;29;0
14/01/2020;19;23;27;0,66
13/01/2020;20;23;26;0,64
12/01/2020;22;26;30;0,43
11/01/2020;22;25,5;29;44,04
10/01/2020;22;25,5;29;1,29
09/01/2020;21;25,5;30;27,71
08/01/2020;21;26;31;57,08
07/01/2020;20;25,5;31;4,59
06/01/2020;19;23,5;28;5,03
05/01/2020;18;22,5;27;5,69
04/01/2020;18;22;26;0,4
03/01/2020;19;22;25;29,7
02/01/2020;21;24,5;28;30,96
01/01/2020;21;26,5;32;9,07
31/12/2019;21;25,5;30;0
30/12/2019;25;27;29;0
29/12/2019;25;32,5;40;0
28/12/2019;19;24,5;30;1
27/12/2019;19;25;31;0
26/12/2019;23;31,5;40;0
25/12/2019;17;24;31;0
24/12/2019;18;23;28;3
23/12/2019;19;21,5;24;15
22/12/2019;21;24;27;24
21/12/2019;20;25;30;7
20/12/2019;19;23;27;9
19/12/2019;18;21,5;25;8
18/12/2019;19;21;23;14
17/12/2019;23;26,5;30;25
16/12/2019;20;26;32;2
15/12/2019;19;23,5;28;2
14/12/2019;19;22,5;26;6
13/12/2019;20;24,5;29;15
12/12/2019;20;23,5;27;40
11/12/2019;19;22;25;12
10/12/2019;18;22;26;15
09/12/2019;17;22,5;28;15
08/12/2019;15;22;29;0
07/12/2019;15;20,5;26;0
06/12/2019;17;19,5;22;26
05/12/2019;16;21,5;27;20
04/12/2019;16;22;28;3
03/12/2019;15;20,5;26;0
02/12/2019;15;18;21;5
01/12/2019;17;23,5;30;2
30/11/2019;16;21,5;27;0
29/11/2019;15;18;21;0
28/11/2019;16;19,5;23;32
27/11/2019;19;25;31;35
26/11/2019;14;22;30;0
25/11/2019;14;18,5;23;0
24/11/2019;15;18;21;5
23/11/2019;19;23,5;28;15
22/11/2019;18;24,5;31;10
21/11/2019;18;24;30;3
20/11/2019;18;22,5;27;3
19/11/2019;17;21,5;26;2
18/11/2019;15;20;25;0
17/11/2019;14;20;26;0
16/11/2019;16;20,5;25;0
15/11/2019;16;20;24;2
14/11/2019;19;22;25;11
13/11/2019;17;22,5;28;3
12/11/2019;18;21,5;25;2
11/11/2019;19;20,5;22;0,68
10/11/2019;20;22,5;25;17,58
09/11/2019;19;22;25;5
08/11/2019;19;22;25;8
07/11/2019;18;22,5;27;5
06/11/2019;18;20;22;18
05/11/2019;23;28,5;34;8
04/11/2019;20;27;34;0
03/11/2019;19;25,5;32;1
02/11/2019;19;24,5;30;2
01/11/2019;20;23;26;1
31/10/2019;20;27;34;1
30/10/2019;20;25,5;31;1
29/10/2019;20;25,5;31;6
28/10/2019;19;26;33;10
27/10/2019;17;25;33;2
26/10/2019;18;24;30;1
25/10/2019;17;23,5;30;2
24/10/2019;17;23;29;3
23/10/2019;15;19;23;1
22/10/2019;16;19,5;23;2
21/10/2019;14;18,5;23;7
20/10/2019;14;17,5;21;0
19/10/2019;18;23;28;0,11
18/10/2019;16;20;24;3,56
17/10/2019;19;24;29;0
16/10/2019;18;23;28;0
15/10/2019;19;23;27;0
14/10/2019;20;26,5;33;0
13/10/2019;20;27;34;0
12/10/2019;18;25;32;0
11/10/2019;17;24;31;0,32
10/10/2019;16;20,5;25;0,56
09/10/2019;16;18,5;21;8,16
08/10/2019;17;18,5;20;3,66
07/10/2019;17;19;21;2,06
06/10/2019;18;22;26;0
05/10/2019;17;25;33;0
04/10/2019;13;21,5;30;0
03/10/2019;17;22,5;28;0,01
02/10/2019;19;26;33;0
01/10/2019;16;23;30;0
30/09/2019;15;21;27;0
