estacao=Sao Paulo (IAG) (9000661)
municipio=São Paulo (3550308)
latitude=-23,65
longitude=-46,62
altitude=787,0m 

* variaveis calculadas pelo sistema 

data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; precipitacao ; precipitacao Estimada ; estiagem* ; estiagemAgricola* ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; evapotranspiracaoPotencial ; radiacaoSolar ; velocidadeVento ; direcaoVento ; horarioVento ; pontoOrvalhoMinimo ; pontoOrvalhoMaximo ; pressaoAtmMinima ; pressaoAtmMaxima ; evapotranspiracaoReal* ; disponibilidadeAguaSolo*
24/06/2020;14,0;sim;20,0;sim;26,0;sim;0,0;sim;14;17;;não;;não;2,64;;;;;;;;;1,04;38,88
23/06/2020;15,0;sim;21,5;sim;28,0;sim;0,0;sim;13;16;;não;;não;3,14;;;;;;;;;1,28;39,92
22/06/2020;15,0;sim;20,5;sim;26,0;sim;0,0;sim;12;15;;não;;não;2,54;;;;;;;;;1,06;41,2
21/06/2020;14,0;sim;20,5;sim;27,0;sim;0,0;sim;11;14;;não;;não;2,94;;;;;;;;;1,26;42,26
20/06/2020;13,0;sim;20,0;sim;27,0;sim;0,0;sim;10;13;;não;;não;3,04;;;;;;;;;1,34;43,52
19/06/2020;17,0;sim;21,0;sim;25,0;sim;0,0;sim;9;12;;não;;não;2,1;;;;;;;;;0,95;44,86
18/06/2020;15,0;sim;18,5;sim;22,0;sim;0,0;sim;8;11;;não;;não;1,56;;;;;;;;;0,72;45,81
17/06/2020;16,0;sim;19,5;sim;23,0;sim;0,0;sim;7;10;;não;;não;1,7;;;;;;;;;0,8;46,53
16/06/2020;16,0;sim;19,5;sim;23,0;sim;0,0;sim;6;9;;não;;não;1,7;;;;;;;;;0,81;47,33
15/06/2020;14,0;sim;16,5;sim;19,0;sim;0,0;sim;5;8;;não;;não;1,05;;;;;;;;;0,51;48,14
14/06/2020;14,0;sim;17,5;sim;21,0;sim;0,0;sim;4;7;;não;;não;1,42;;;;;;;;;0,7;48,65
13/06/2020;20,0;sim;24,5;sim;29,0;sim;0,0;sim;3;6;;não;;não;2,94;;;;;;;;;1,47;49,35
12/06/2020;20,0;sim;24,5;sim;29,0;sim;0,0;sim;2;5;;não;;não;2,94;;;;;;;;;1,52;50,82
11/06/2020;18,0;sim;23,0;sim;28,0;sim;0,06;sim;1;4;;não;;não;2,84;;;;;;;;;1,53;52,34
10/06/2020;18,0;sim;23,0;sim;28,0;sim;2,46;sim;0;3;;não;;não;2,84;;;;;;;;;2,67;53,81
09/06/2020;17,0;sim;22,0;sim;27,0;sim;0,03;sim;2;2;;não;;não;2,65;;;;;;;;;1,46;54,02
08/06/2020;14,0;sim;20,0;sim;26,0;sim;0,0;sim;1;1;;não;;não;2,65;;;;;;;;;1,49;55,45
07/06/2020;16,0;sim;19,5;sim;23,0;sim;22,11;sim;0;0;;não;;não;1,71;;;;;;;;;1,71;56,94
06/06/2020;17,0;sim;19,0;sim;21,0;sim;2,96;sim;0;68;;não;;não;1,23;;;;;;;;;1,23;36,54
05/06/2020;16,0;sim;19,0;sim;22,0;sim;4,15;sim;0;67;;não;;não;1,5;;;;;;;;;1,5;34,81
04/06/2020;16,0;sim;18,5;sim;21,0;sim;4,0;sim;0;66;;não;;não;1,3;;;;;;;;;1,3;32,16
03/06/2020;15,0;sim;17,0;sim;19,0;sim;2,19;sim;0;65;;não;;não;1,0;;;;;;;;;1,0;29,46
02/06/2020;12,0;sim;17,0;sim;22,0;sim;3,62;sim;0;64;;não;;não;1,8;;;;;;;;;1,8;28,27
01/06/2020;11,0;sim;18,5;sim;26,0;sim;0,0;sim;9;63;;não;;não;2,97;;;;;;;;;0,79;26,45
31/05/2020;7,0;sim;11,5;sim;16,0;sim;0,0;sim;8;62;;não;;não;0,95;;;;;;;;;0,26;27,24
30/05/2020;8,0;sim;14,0;sim;20,0;sim;0,0;sim;7;61;;não;;não;1,65;;;;;;;;;0,46;27,5
29/05/2020;7,0;sim;16,5;sim;26,0;sim;0,0;sim;6;60;;não;;não;3,4;;;;;;;;;0,97;27,96
28/05/2020;10,0;sim;16,0;sim;22,0;sim;0,0;sim;5;59;;não;;não;1,96;;;;;;;;;0,57;28,93
27/05/2020;8,0;sim;13,5;sim;19,0;sim;0,0;sim;4;58;;não;;não;1,44;;;;;;;;;0,43;29,5
26/05/2020;10,0;sim;15,5;sim;21,0;sim;0,22;sim;3;57;;não;;não;1,73;;;;;;;;;0,67;29,93
25/05/2020;7,0;sim;12,0;sim;17,0;sim;0,0;sim;2;56;;não;;não;1,13;;;;;;;;;0,35;30,38
24/05/2020;11,0;sim;15,0;sim;19,0;sim;0,98;sim;1;55;;não;;não;1,25;;;;;;;;;1,06;30,73
23/05/2020;16,0;sim;19,5;sim;23,0;sim;6,95;sim;0;54;;não;;não;1,74;;;;;;;;;1,74;30,81
22/05/2020;11,0;sim;12,5;sim;14,0;sim;0,54;sim;9;53;;não;;não;0,5;;;;;;;;;0,5;25,6
21/05/2020;15,0;sim;20,5;sim;26,0;sim;0,0;sim;8;52;;não;;não;2,61;;;;;;;;;0,67;25,56
20/05/2020;16,0;sim;19,5;sim;23,0;sim;0,0;sim;7;51;;não;;não;1,75;;;;;;;;;0,47;26,23
19/05/2020;8,0;sim;17,0;sim;26,0;sim;0,0;sim;6;50;;não;;não;3,34;;;;;;;;;0,9;26,7
18/05/2020;11,0;sim;18,0;sim;25,0;sim;0,0;sim;5;49;;não;;não;2,72;;;;;;;;;0,77;27,6
17/05/2020;8,0;sim;15,5;sim;23,0;sim;0,0;sim;4;48;;não;;não;2,43;;;;;;;;;0,69;28,37
16/05/2020;6,0;sim;15,0;sim;24,0;sim;0,0;sim;3;47;;não;;não;2,93;;;;;;;;;0,87;29,06
15/05/2020;15,0;sim;16,0;sim;17,0;sim;0,32;sim;2;46;;não;;não;0,72;;;;;;;;;0,44;29,93
14/05/2020;15,0;sim;18,0;sim;21,0;sim;0,75;sim;1;45;;não;;não;1,4;;;;;;;;;0,94;30,05
13/05/2020;13,0;sim;20,0;sim;27,0;sim;2,75;sim;0;44;;não;;não;3,15;;;;;;;;;2,87;30,24
12/05/2020;13,0;sim;19,0;sim;25,0;sim;0,0;sim;6;43;;não;;não;2,55;;;;;;;;;0,79;30,36
11/05/2020;13,0;sim;18,0;sim;23,0;sim;0,0;sim;5;42;;não;;não;2,02;;;;;;;;;0,63;31,15
10/05/2020;13,0;sim;18,5;sim;24,0;sim;0,0;sim;4;41;;não;;não;2,28;;;;;;;;;0,74;31,78
09/05/2020;5,0;sim;15,5;sim;26,0;sim;0,0;sim;3;40;;não;;não;3,75;;;;;;;;;1,24;32,52
08/05/2020;12,0;sim;16,0;sim;20,0;sim;0,0;sim;2;39;;não;;não;1,42;;;;;;;;;0,48;33,76
07/05/2020;14,0;sim;16,0;sim;18,0;sim;0,47;sim;1;38;;não;;não;0,93;;;;;;;;;0,63;34,24
06/05/2020;6,0;sim;12,5;sim;19,0;sim;3,14;sim;0;37;;não;;não;1,64;;;;;;;;;1,64;34,4
05/05/2020;13,0;sim;19,0;sim;25,0;sim;0,15;sim;20;36;;não;;não;2,58;;;;;;;;;0,96;32,9
04/05/2020;13,0;sim;18,0;sim;23,0;sim;0,0;sim;19;35;;não;;não;2,04;;;;;;;;;0,69;33,71
03/05/2020;13,0;sim;16,5;sim;20,0;sim;0,0;sim;18;34;;não;;não;1,36;;;;;;;;;0,47;34,4
02/05/2020;16,0;sim;20,5;sim;25,0;sim;0,0;sim;17;33;;não;;não;2,32;;;;;;;;;0,82;34,87
01/05/2020;16,0;sim;21,5;sim;27,0;sim;0,0;sim;16;32;;não;;não;2,91;;;;;;;;;1,06;35,69
30/04/2020;15,0;sim;21,0;sim;27,0;sim;0,26;sim;15;31;;não;;não;3,02;;;;;;;;;1,29;36,75
29/04/2020;15,0;sim;20,5;sim;26,0;sim;0,0;sim;14;30;;não;;não;2,71;;;;;;;;;1,03;37,78
28/04/2020;15,0;sim;21,0;sim;27,0;sim;0,0;sim;13;29;;não;;não;3,03;;;;;;;;;1,2;38,81
27/04/2020;14,0;sim;21,0;sim;28,0;sim;0,0;sim;12;28;;não;;não;3,48;;;;;;;;;1,41;40,01
26/04/2020;16,0;sim;22,5;sim;29,0;sim;0,0;sim;11;27;;não;;não;3,6;;;;;;;;;1,52;41,42
25/04/2020;15,0;sim;22,5;sim;30,0;sim;0,0;sim;10;26;;não;;não;4,71;;;;;;;;;2,07;42,94
24/04/2020;16,0;sim;21,5;sim;27,0;sim;0,0;sim;9;25;;não;;não;2,95;;;;;;;;;1,35;45,01
23/04/2020;16,0;sim;21,0;sim;26,0;sim;0,0;sim;8;24;;não;;não;2,65;;;;;;;;;1,25;46,36
22/04/2020;14,0;sim;22,0;sim;30,0;sim;0,02;sim;7;23;;não;;não;4,81;;;;;;;;;2,35;47,61
21/04/2020;14,0;sim;20,5;sim;27,0;sim;0,0;sim;6;22;;não;;não;3,18;;;;;;;;;1,62;49,94
20/04/2020;15,0;sim;20,0;sim;25,0;sim;0,0;sim;5;21;;não;;não;2,47;;;;;;;;;1,29;51,56
19/04/2020;17,0;sim;20,0;sim;23,0;sim;0,0;sim;4;20;;não;;não;1,78;;;;;;;;;0,94;52,85
18/04/2020;15,0;sim;19,0;sim;23,0;sim;0,0;sim;3;19;;não;;não;1,94;;;;;;;;;1,06;53,79
17/04/2020;15,0;sim;18,5;sim;22,0;sim;0,0;sim;2;18;;não;;não;1,7;;;;;;;;;0,94;54,85
16/04/2020;15,0;sim;19,5;sim;24,0;sim;0,01;sim;1;17;;não;;não;2,21;;;;;;;;;1,25;55,79
15/04/2020;16,0;sim;19,5;sim;23,0;sim;4,42;sim;0;16;;não;;não;1,87;;;;;;;;;1,87;57,03
14/04/2020;17,0;sim;21,5;sim;26,0;sim;1,19;sim;0;15;;não;;não;2,6;;;;;;;;;1,97;54,48
13/04/2020;15,0;sim;19,5;sim;24,0;sim;0,0;sim;6;14;;não;;não;2,23;;;;;;;;;1,24;55,26
12/04/2020;12,0;sim;20,0;sim;28,0;sim;0,0;sim;5;13;;não;;não;3,84;;;;;;;;;2,21;56,5
11/04/2020;14,0;sim;19,5;sim;25,0;sim;0,01;sim;4;12;;não;;não;2,62;;;;;;;;;1,57;58,71
10/04/2020;10,0;sim;18,5;sim;27,0;sim;0,0;sim;3;11;;não;;não;3,73;;;;;;;;;2,29;60,27
09/04/2020;14,0;sim;17,5;sim;21,0;sim;0,0;sim;2;10;;não;;não;1,58;;;;;;;;;0,99;62,56
08/04/2020;14,0;sim;17,5;sim;21,0;sim;0,0;sim;1;9;;não;;não;1,59;;;;;;;;;1,02;63,55
07/04/2020;15,0;sim;20,0;sim;25,0;sim;3,27;sim;0;8;;não;;não;2,54;;;;;;;;;2,54;64,57
06/04/2020;15,0;sim;23,0;sim;31,0;sim;0,52;sim;7;7;;não;;não;5,01;;;;;;;;;3,45;63,84
05/04/2020;14,0;sim;20,5;sim;27,0;sim;0,0;sim;6;6;;não;;não;3,3;;;;;;;;;2,24;66,77
04/04/2020;13,0;sim;18,5;sim;24,0;sim;0,0;sim;5;5;;não;;não;2,46;;;;;;;;;1,72;69,01
03/04/2020;14,0;sim;21,0;sim;28,0;sim;0,02;sim;4;4;;não;;não;3,67;;;;;;;;;2,65;70,73
02/04/2020;17,0;sim;24,0;sim;31,0;sim;0,09;sim;3;3;;não;;não;4,81;;;;;;;;;3,63;73,36
01/04/2020;18,0;sim;23,0;sim;28,0;sim;0,0;sim;2;2;;não;;não;3,22;;;;;;;;;2,52;76,9
31/03/2020;20,0;sim;24,5;sim;29,0;sim;0,01;sim;1;1;;não;;não;3,34;;;;;;;;;2,7;79,42
30/03/2020;18,0;sim;23,0;sim;28,0;sim;12,21;sim;0;0;;não;;não;3,23;;;;;;;;;3,23;82,11
29/03/2020;18,0;sim;23,0;sim;28,0;sim;18,29;sim;0;0;;não;;não;3,24;;;;;;;;;3,24;73,13
28/03/2020;17,0;sim;23,0;sim;29,0;sim;0,04;sim;8;11;;não;;não;3,72;;;;;;;;;2,21;58,08
27/03/2020;15,0;sim;21,5;sim;28,0;sim;0,0;sim;7;10;;não;;não;3,6;;;;;;;;;2,21;60,25
26/03/2020;15,0;sim;21,0;sim;27,0;sim;0,0;sim;6;9;;não;;não;3,26;;;;;;;;;2,07;62,46
25/03/2020;16,0;sim;21,5;sim;27,0;sim;0,0;sim;5;8;;não;;não;3,15;;;;;;;;;2,07;64,53
24/03/2020;18,0;sim;22,0;sim;26,0;sim;0,0;sim;4;7;;não;;não;2,62;;;;;;;;;1,77;66,6
23/03/2020;17,0;sim;24,5;sim;32,0;sim;0,0;sim;3;6;;não;;não;5,11;;;;;;;;;3,58;68,37
22/03/2020;15,0;sim;24,0;sim;33,0;sim;0,0;sim;2;5;;não;;não;5,53;;;;;;;;;4,09;71,95
21/03/2020;14,0;sim;26,5;sim;39,0;sim;0,0;sim;1;4;;não;;não;6,28;;;;;;;;;4,93;76,04
