Date;Ibirapuera;Pinheiros
17 de janeiro de 2016;;
18 de janeiro de 2016;749;1046
19 de janeiro de 2016;1003;1121
20 de janeiro de 2016;1075;1262
21 de janeiro de 2016;661;1016
22 de janeiro de 2016;959;991
23 de janeiro de 2016;1461;1694
24 de janeiro de 2016;1615;1790
25 de janeiro de 2016;1156;1307
26 de janeiro de 2016;840;851
27 de janeiro de 2016;1036;1301
28 de janeiro de 2016;1009;1209
29 de janeiro de 2016;743;916
30 de janeiro de 2016;1640;2057
31 de janeiro de 2016;1162;1381
1 de fevereiro de 2016;1130;1340
2 de fevereiro de 2016;1251;1461
3 de fevereiro de 2016;1140;1337
4 de fevereiro de 2016;886;1010
5 de fevereiro de 2016;589;744
6 de fevereiro de 2016;1131;1348
7 de fevereiro de 2016;690;775
8 de fevereiro de 2016;1562;1763
9 de fevereiro de 2016;774;911
10 de fevereiro de 2016;912;1050
11 de fevereiro de 2016;1147;1451
12 de fevereiro de 2016;977;1134
13 de fevereiro de 2016;1957;2199
14 de fevereiro de 2016;789;846
15 de fevereiro de 2016;1064;1353
16 de fevereiro de 2016;1046;1148
17 de fevereiro de 2016;1153;1393
18 de fevereiro de 2016;1098;1288
19 de fevereiro de 2016;929;1102
20 de fevereiro de 2016;1850;1999
21 de fevereiro de 2016;1148;1235
22 de fevereiro de 2016;1232;1435
23 de fevereiro de 2016;1035;1146
24 de fevereiro de 2016;1157;1429
25 de fevereiro de 2016;1125;1384
26 de fevereiro de 2016;863;1011
27 de fevereiro de 2016;1587;1660
28 de fevereiro de 2016;892;1019
29 de fevereiro de 2016;563;667
1 de março de 2016;803;940
2 de março de 2016;716;832
3 de março de 2016;1082;1243
4 de março de 2016;967;1055
5 de março de 2016;1911;2172
6 de março de 2016;1161;1250
7 de março de 2016;1322;1571
8 de março de 2016;1170;1319
9 de março de 2016;481;591
11 de março de 2016;1007;1094
12 de março de 2016;1802;1867
13 de março de 2016;1195;1331
14 de março de 2016;1370;1481
15 de março de 2016;1195;1347
16 de março de 2016;1315;1546
17 de março de 2016;1233;1457
18 de março de 2016;1098;1150
19 de março de 2016;2161;2314
20 de março de 2016;1410;1522
21 de março de 2016;1368;1528
22 de março de 2016;1059;1157
23 de março de 2016;1210;1380
24 de março de 2016;1069;1229
25 de março de 2016;896;1017
26 de março de 2016;1529;1646
27 de março de 2016;1364;1527
28 de março de 2016;1482;1552
29 de março de 2016;1282;1409
30 de março de 2016;1304;1490
31 de março de 2016;1288;1502
1 de abril de 2016;1160;1253
2 de abril de 2016;2170;2440
3 de abril de 2016;1416;1525
4 de abril de 2016;1660;1745
5 de abril de 2016;1365;1537
6 de abril de 2016;1499;1680
7 de abril de 2016;1313;1477
8 de abril de 2016;1104;1224
9 de abril de 2016;2130;2257
10 de abril de 2016;1332;1541
11 de abril de 2016;1538;1734
12 de abril de 2016;1480;1695
13 de abril de 2016;1531;1791
14 de abril de 2016;1435;1546
15 de abril de 2016;1243;1328
16 de abril de 2016;2100;2177
17 de abril de 2016;1456;1576
18 de abril de 2016;1652;1799
19 de abril de 2016;1376;1564
20 de abril de 2016;1977;2179
21 de abril de 2016;1069;1136
22 de abril de 2016;1251;1390
